# Skip this row
#OTU ID	F1948c.SHOT	S454c.SHOT	ADNA.91	ADNA.113	ADNA.88	ADNA.85	ADNA.112	ADNA.92	ADNA.90	ADNA.114	ADNA.83	CW.SH	ADNA.89	ADNA.87	ADNA.111	ADNA.110	ADNA.100	ADNA.99	S1S14	ADNA.115	ADNA.78	BC2	BC1	Amz29adlt.418370	Amz6eldF.418597	AmzC12adltF.418473	AmzC3adltM.418849	AmzC9adltM.418480	TS128.418470	USygt1.F.418592	USygt26.M.418352	USygt34.F.418402	USygt38.F.418465	USygt51.F.418349	h122M.1.418534	h165M.1.418394	h264M.1.418377	h301M.1.418627	AK.19.12a.414608	AK.19.12a.414616	AK.19.18a.414617	UT.15.44.414611	UT.15.45.414619	AK.19.15a.414612	UT.15.42.414609	UT.15.42.414610	FL.3.14a.414607	HI.20.11a.414613	FL.3.16a.414618	Ind30.F.Skin	Ind28.F.Saliva	FL.3.13a.414620	Ind19.M.Skin	Ind16.F.Skin	Ind20.F.Skin	Ind27.M.Skin	HI.20.11a.414621	Ind5.M.Sup.Plaque	Ind9.F.Saliva	Ind5.M.Sub.Plaque	Ind4.M.Sup.Plaque	Ind4.M.Saliva	Ind9.F.Sub.Plaque	Ind8.F.Sub.Plaque	Ind7.F.Sup.Plaque	Ind33.F.Saliva	Ind36.F.Sub.Plaque	Ind36.F.Saliva	Ind35.M.Sup.Plaque	Ind36.F.Sup.Plaque	Ind36.F.Skin	Ind31.M.Sup.Plaque	Ind31.M.Sub.Plaque	Ind38.F.Sub.Plaque	Ind24.M.Saliva	Ind29.F.Sup.Plaque	Ind22.F.Saliva	Ind24.M.Sup.Plaque	Ind22.F.Sup.Plaque	Ind32.F.Sub.Plaque	Ind27.M.Sup.Plaque	Ind32.F.Saliva	Ind27.M.Saliva	Ind4.M.Sub.Plaque	Ind38.F.Skin	Ind7.F.Saliva	Ind34.M.Skin	Ind10.M.Sup.Plaque	Ind12.M.Saliva	Ind14.M.Sup.Plaque	Ind13.M.Saliva	Ind19.M.Sup.Plaque	Ind13.M.Sub.Plaque	Ind20.F.Saliva	Ind35.M.Saliva	Ind21.M.Sup.Plaque	Ind17.M.Saliva	Ind40.F.Saliva	Ind25.M.Saliva	Ind26.F.Sub.Plaque	Ind2.F.Saliva	Ind1.F.Saliva	Ind40.F.Sub.Plaque	Ind4.M.Skin	Ind14.M.Skin	Ind19.M.Saliva	Ind23.M.Sup.Plaque	Ind10.M.Sub.Plaque	Ind20.F.Sub.Plaque	Ind21.M.Sub.Plaque	Ind16.F.Sub.Plaque	Ind15.F.Skin	Ind37.M.Skin	Ind33.F.Skin
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__MBGA;o__;f__;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__MBGA;o__NRP-J;f__;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__MCG;o__;f__;g__	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__SAGMA-X;g__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__SAGMA-X;g__Nitrosotalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Candidatus Nitrososphaera	0	0	0	0	0	0	3	0	0	0	0	0	1	1	32	3	2	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	20	0	23	13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
